Pays;		Année;	POC;	RupStruc;	TCI;	
BANGLADESH;	2007;	1.00;	0.5210;		0.667;	
BURUNDI;	1996;	1.00;	1.0000;		1.000;	
CAMBODGE;	1997;	1.00;	0.8750;		0.000;	
RÉPUBLIQUE CENTRAFRICAINE;	2003;	1.00;	0.6460;		0.333;	
TCHAD;		2008;	1.00;	0.8125;		0.333;	
COMORES;	1999;	1.00;	0.6875;		1.000;	
RÉPUBLIQUE DU CONGO;	1997;	1.00;	0.6665;		0.667;	
FIJI;		2006;	1.00;	0.5210;		0.333;	
GUINÉE;		2008;	1.00;	0.3335;		1.000;	
GUINÉE-BISSAU;	1999;	1.00;	1.0000;		1.000;	
GUINÉE-BISSAU;	2003;	1.00;	0.6875;		0.333;	
GUINÉE-BISSAU;	2012;	1.00;	0.6875;		0.333;	
CÔTE D'IVOIRE;	1999;	1.00;	0.5000;		0.333;	
MALI;		2012;	1.00;	1.0000;		1.000;	
MAURITANIE;	2005;	1.00;	0.5000;		0.667;	
MAURITANIE;	2008;	1.00;	0.6875;		0.667;	
NÉPAL;		2002;	1.00;	0.8335;		1.000;	
NIGER;		1996;	1.00;	0.6460;		0.333;	
NIGER;		2010;	1.00;	0.5000;		0.333;	
PAKISTAN;	1999;	1.00;	0.5210;		0.667;	
QATAR;		1995;	1.00;	0.1665;		0.000;	
QATAR;		1996;	1.00;	0.1665;		0.000;	
SIERRA LEONE;	1996;	1.00;	0.8125;		1.000;	
SIERRA LEONE;	1997;	1.00;	1.0000;		1.000;	
THAÏLANDE;	2006;	1.00;	0.5415;		0.000;	
TOGO;		2005;	1.00;	0.3335;		1.000;					
AFGHANISTAN;	2002;	1.00;	0.8335;		0.333;	
ALBANIE;	1998;	1.00;	0.3335;		0.000;	
ARMÉNIE;	1995;	1.00;	0.5210;		0.333;	
ARMÉNIE;	1999;	1.00;	0.3335;		0.000;	
AZERBAÏDJAN;	1995;	1.00;	1.0000;		0.667;	
AZERBAÏDJAN;	1996;	1.00;	0.6875;		0.667;
BANGLADESH;	1996;	1.00;	0.5000;		1.000;	
BENIN;		1995;	1.00;	0.5000;		0.333;	
BURUNDI;	2001;	1.00;	0.8750;		0.667;	
CAMBODGE;	2000;	1.00;	0.5000;		0.000;	
RÉPUBLIQUE CENTRAFRICAINE;	1996;	1.00;	0.3335;		0.667;	
RÉPUBLIQUE CENTRAFRICAINE;	2001;	1.00;	0.3335;		0.667;	
RÉPUBLIQUE CENTRAFRICAINE;	2013;	1.00;	1.0000;		1.000;	
TCHAD;		2006;	1.00;	0.7500;		0.333;	
TCHAD;		2008;	1.00;	0.8125;		0.333;	
COMORES;	1995;	1.00;	0.8125;		1.000;	
COMORES;	2000;	1.00;	0.5000;		1.000;	
DJIBOUTI;	2000;	1.00;	0.3335;		0.333;	
ÉQUATEUR;	2000;	1.00;	0.3335;		1.000;	
ÉQUATEUR;	2010;	1.00;	0.1665;		1.000;	
GUINÉE-ÉQUATORIALE;	2009;	1.00;	0.3335;		0.333;	
FIJI;		2000;	1.00;	0.3335;		0.667;	
GAMBIE;		1995;	1.00;	0.5000;		0.000;	
GÉORGIE;	2009;	1.00;	0.3335;		0.667;	
GUINÉE;		1996;	1.00;	0.5000;		1.000;	
GUINÉE;		2006;	1.00;	0.5000;		1.000;	
GUINÉE;		2011;	1.00;	0.5000;		1.000;	
GUINÉE-BISSAU;	1998;	1.00;	1.0000;		1.000;	
GUINÉE-BISSAU;	2000;	1.00;	0.5000;		0.333;	
GUINÉE-BISSAU;	2008;	1.00;	0.5000;		0.333;	
GUINÉE-BISSAU;	2009;	1.00;	0.5000;		0.000;	
GUINÉE-BISSAU;	2010;	1.00;	0.5000;		0.000;	
